Job Title,Company,Location,Salary,Description,URL
Python Developer- Chandigarh,Vish International,"Chandigarh, Chandigarh",,"Chandigarh```Urgent requirement (5 positions)- Python Developers with at least 3 years experience. Location Chandigarh. Send in your resumes at`Thank you`Team Vish International`Experience`2 - 5 Years``Salary`Not Disclosed``Industry`IT Software - Application Programming / Maintenance``Qualification`Diploma, Advanced/Higher Diploma, Professional Degree``Key Skills`Python Developer```About Company`Email ID`info@vishinternational.com",https://in.indeed.com/rc/clk?jk=d50fa614bb5f8115&fccid=d3feaf19f92fa8c5&vjs=3
Sr. Python Developer,Androzone Solutions,"Chandigarh, Chandigarh","From ₹1,00,000 a month","Requirements:-`Job Location: USA`We are looking for a candidate who loves Coding and has excellent experience in AWS + Python + GraphQL which is a must.`Candidate should have L1B or H1B visa.`Experience level should be 9+ years`Job Description:`Mandatory skills Python Fundamentals Lists, tuples, indexing, comprehensions, unpacking, zip, enumerate, etc.`Advanced Decorators, Generators, Type hinting, regex, Multithreading, logging, etc.`Object Oriented Programming Inheritinheritancesple inheritance, encapsulation, Interfaces, ABCs, etc.`Error handling Raising errors, creating own errors, debugging, etc.`Unit Testing Testing functions, dependency injection, testing for errors, testing classes, etc.`Flask Restful A`Good to have: Kinesis Firehose Kafka and messaging architectures experience`Job Types: Full-time, Regular / Permanent`Salary: From ₹100,000.00 per month`Schedule:`US shift`Speak with the employer`+91 9345948107",https://in.indeed.com/company/Androzone-Solution/jobs/Python-Developer-137c0cff9a58de53?fccid=f55fe21938642f86&vjs=3
Sr. Python Developer,Intelliworx Consulting,"Chandigarh, Chandigarh","₹40,000 - ₹70,000 a month","Python flask framework (required)`REST API using Flask framework`MySQL (required)`MongoDB (required)`Knowledge of Microservices & Docker, GIT`For Junior Developer 1 to 2 years'`salary upto 40,000`Senior Developer 2 to 4 years`salary upto 70,000`Job Types: Full-time, Regular / Permanent`Salary: ₹40,000.00 - ₹70,000.00 per month`Schedule:`Day shift`Ability to commute/relocate:`Chandigarh, Chandigarh: Reliably commute or planning to relocate before starting work (Required)`Education:`Bachelor's (Preferred)`Experience:`Python: 1 year (Preferred)`total work: 4 years (Preferred)`Speak with the employer`+91 9800000000",https://in.indeed.com/company/Intelliworx-Consulting/jobs/Python-Developer-17c3f560b2dce6ec?fccid=76da101e4b74d93c&vjs=3
PYTHON,Infowiz Software Solution,"Chandigarh, Chandigarh",,"We are looking for an experienced Python Developer(minimum 3-4 years).You will be responsible for smooth running and innovative web applications and software products. Job description & Skills Required:- 1. Expert in Python, with knowledge of Python web framework {such as Django, Flask etc} 2. Familiarity with ORM (Object Relational Mapper) libraries. 3. Able to integrate multiple data sources and databases into one system 4. Understanding of the threading limitations of Python, and multi-process architecture. 5. Good understanding of server-side templating languages {such as Jinja 2, Mako}. 6. Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3. 7. Familiarity with event-driven programming in Python. 8. Strong unit test and debugging skills. 9. Proficient understanding of code versioning tools {such as Git, Mercurial or SVN}.`Send your resume to info@infowiz.co.in`NO’s`Location`IT Park Chandigarh`Salary/Package`Best in the Industry",https://in.indeed.com/rc/clk?jk=897d21301f6c1103&fccid=11e6934ea954ccfb&vjs=3
Assistant Manager - Development,Stonewain Systems,"Remote in Chandigarh, Chandigarh",,"Company Overview`We are a global leader in securities finance technology with offices in major financial centers worldwide. Our goal is to optimize efficiency in the securities finance industry through innovative platforms for trading and post-trade services.`We offer a range of products including EquiLend Spire, Next Generation Trading (NGT), Post Trade Solutions, DataLend, and Securities Finance Trading Regulation to automate processes and provide our clients with the tools they need to succeed. Our continued dedication to innovation and excellence in this field led us to acquire a majority stake in Stonewain Systems in 2021, a move that enables securities finance market participants to manage their businesses on a single, comprehensive, and integrated platform.`Company Overview`We are a global leader in securities finance technology with offices in major financial centers worldwide. Our goal is to optimize efficiency in the securities finance industry through innovative platforms for trading and post-trade services.`We offer a range of products including EquiLend Spire, Next Generation Trading (NGT), Post Trade Solutions, DataLend, and Securities Finance Trading Regulation to automate processes and provide our clients with the tools they need to succeed. Our continued dedication to innovation and excellence in this field led us to acquire a majority stake in Stonewain Systems in 2021, a move that enables securities finance market participants to manage their business on a single, comprehensive, and integrated platform.`Team Overview`This opportunity sits within Stonewain Systems (an EquiLend Company) proud creators of EquiLend Spire. Our product is a versatile securities finance platform that can be used as a full system or customized into modules, enabling us to adapt to our financial clients needs.`We are now looking for a Assistant Manager - Development to join us in Chandigarh. The team is working on engaging projects with some of the largest banks in the world, transforming the securities finance industry. The work culture is focused on Innovation - creating lasting value for our clients and employees. It provides ongoing learning opportunity to help acquire new skills and deepen existing expertise.`Role Responsibilities`Will run the scrum ceremonies of multiple SCRUM teams.`Need to understand the domain and help team understand the same.`Need to help Dev Managers to manage communication among Devs, QAs and BAs.`Ensure the SDLC is followed to an extent and keep improving it.`Directly supervise team members with daily regular interactions, including managing the team's workload under guidance of Dev Manager.`Contribute to requirements collection, review, and analysis.`Identify risks and conduct mitigation action planning.`Provide development activities estimates as input to the project plans.`Review other developers' work and provide feedback.`Work with Technical Support and Quality Assurance teams in defining test cases and to help in resolving technical issues.`Identify and communicate technical problems, processes, and solutions.`Provide L3 level application support to resolve customer issues.`Create and develop tools for internal or external use that will add value.`Required Skills`5+ years' of experience in Development or Testing. Bachelors / Master's degree (or equivalent) in Computer Science, Computer Engineering, etc.`Experience in people management.`Experience with Agile methodologies.`Have a past career in dev or QA, preferably in small firms.`Good in communication`Good understanding of SDLC and Release management.`Should have solved significant problems in their current role. We don't want a hands-off middle manager.`Coding experience / knowledge in any language (Java, python, c++, sql etc.)`Knowledge of unit testing.`Knowledge of CI / CD.`Knowledge of E2E testing.`Excel (Good to have).`Role Location Benefits`50 Days of Work from Home`30 Leaves in a calendar year (Plus 10 bank holidays)`Paternity Leave (5 Days)`Bereavement Leave (5 Days)`Maternity leave (26 weeks)`Health Insurance – Rs. 5,00,000/-, Accidental Insurance – Rs. 10,00,000/- from 1st day of employment`Diversity & Inclusion`At Stonewain Systems, we are committed to diversity and inclusion and believe that it is essential to our success as a company. We value and respect all individuals, regardless of their background, and recognize that diversity brings a wealth of perspectives and skills that help us innovate and excel. We are dedicated to building a diverse and inclusive workplace where everyone feels valued and has the opportunity to thrive. We welcome and encourage applications from individuals of all backgrounds and experiences. If you require any accommodations during the application process, please let us know.`#LI-Hybrid",https://in.indeed.com/rc/clk?jk=ad560c9913dae55a&fccid=967f5a3c2a642cf6&vjs=3
Head Barista,Evolvact pvt ltd,"New Delhi, Delhi","₹18,000 - ₹22,000 a month","Responsibilities`Experience in middle eastern countries , knowledge about middle eastern coffee and beverages .`Barista should have skills of latte art and basic knowledge about coffee and beverages. There are 4 basic latte art patterns one should know how to execute following patterns`solid heart, simple tulip, Rosetta, swan`promotes coffee consumption by educating customers and selling coffee and coffee grinding and brewing equipment, accessories, preparing and serving a variety of coffee drinks along with our special desserts`welcomes and connects with every customer`discover customer needs and appropriately suggests product with every customer to enhance service and meet sales goals`responds to customer needs and says thankyou to every customer needs .`Prepares and sells coffee drinks by following prescribed recpies and preparation techniques for coffee drinks`generates revenues by attracting new customers`maintains inventories by replenishing coffee bean supply`good command on English and customer interaction`Receives and process payments`Job Types: Full-time, Regular / Permanent`Salary: ₹18,000.00 - ₹22,000.00 per month`Benefits:`Flexible schedule`Schedule:`Day shift`Evening shift`Flexible shift`Morning shift`Rotational shift`Supplemental pay types:`Performance bonus`Ability to commute/relocate:`New Delhi, Delhi: Reliably commute or planning to relocate before starting work (Required)`Application Question(s):`Do you know LATTE ART (heart, swan, tulip, etc )?`Experience:`total work: 3 years (Preferred)`Speak with the employer`+91 9643403439",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AAalZApiITkfZtRGIE7KZvCqun5HD22Ba3ZLRFXFaZ-YZ28rdA9_m45xB10xPPXvyVIz54-K_voIWwc1nJ5_WLGREKh1ErLyiAwYOpTHo_7Bly1lDjdi1M4F7dBufaehJ9zLOwL1xAMDkgz_bZbazLZRh1n76D8N5lF86-ekLFjGxKghTKe4MZr3JFX0phSwS1xPwDIMJgJGpyhHTdkgeOG0vRPlVBo2sKHWBjhFPY0mnQK7ZFoJm5cc9pr89_0ROubAcoOBVHLJvg9GPcRmq6VGOmXztUJ0uGALrbrDNcfzOhZBb7cnGc9LU0EnD4oeNZ3-RTDPCirqlNKuhAm8h_vfHKeF64EyMSbge2wBp69qJ7sQbm7WocsTfWEXS8ed3t6oROPFeLjt5jQwVvsaDKwlPMDtCH-V4rVI_8sO7_ytEFIG7FCOpJECpFLj35D8CJy5XRmP0WrSR4PaPP49kU4TQy4SlquOsKtNZHY4ebdblFCRO39axe&xkcb=SoAp-_M3QXRcYgwNEB0LbzkdCdPP&p=0&fvj=1&vjs=3
Sr. Manager Operations,hireeasi,"Remote in Delhi, Delhi","₹12,00,000 - ₹16,00,000 a year","Duties and Responsibilities`Plans and oversees strategic, operational, and administrative programs, projects, and/or services of broad significance to the organization within the designated functional area of focus.`Establishes and implements short- and long-range organizational goals, objectives, strategic plans, policies, and operating procedures; monitors and evaluates programmatic and operational effectiveness, and effects changes required for improvement.`Provides strategic advice and recommendations to leadership in the development, implementation, and evaluation of new or modified operating policies, practices, and procedures within the specified functional area of focus.`Provides professional consultation and leadership to all faculty and staff employed by the component and service as the principal point expertise on all matters relating to the specified functional area of focus.`Analyzes, designs, documents, and implements internal reporting systems and procedures for the organization or business entity, within specified functional area of operation, as applicable to the specified functional area of focus.`Designs, coordinates, and implements training programs for personnel within the organization and its components regarding the nature and application operating policies and procedures.`Manages and/or provides day-to-day leadership to various technical, professional, and/or administrative personnel engaged in specified project activities, as appropriate to the position.`May represent the organization to governmental agencies, funding agencies, national organizations, and/or the general public; may represent the principal executive at various community and/or business meetings, as assigned.`May serve as Campus Security Authority as outlined by the Clery Act.`Performs miscellaneous job-related duties as assigned.`Job Types: Full-time, Regular / Permanent`Pay: ₹1,200,000.00 - ₹1,600,000.00 per year`Benefits:`Provident Fund`Work from home`Schedule:`Day shift`Morning shift`Supplemental pay types:`Performance bonus`Ability to commute/relocate:`Delhi, Delhi: Reliably commute or planning to relocate before starting work (Required)`Experience:`total work: 10 years (Preferred)`Speak with the employer`+91 7827915650",https://in.indeed.com/company/hireeasi/jobs/Senior-Operations-Manager-f7b919b0dee75666?fccid=330666761dfcf2f4&vjs=3
Cinema General Manager,PVR Cinemas Ltd,"New Delhi, Delhi","₹8,00,000 - ₹12,00,000 a year","Job Purpose:`To head the Cinema Operations as a Revenue Centre Head for ensuring & meeting the Customer Satisfaction Scores and Revenue targets through Efficient operations, Centre on the Standard Operating Procedures and fair People Management practices.`Key Responsibilities:`1. Ensuring Financials of cinema/ Unit (Like SPH, ATP, Strike rate).`2. Tracks and directs the performance of the cinema on daily basis through consistent implementation of the SOPs and tracking of the business environment towards achievements of the monthly targets (revenues- Box/Concessions/LAM and customer satisfaction scores) and identifies key contributing members for rewards/incentives.`3. Drive Local Area Marketing to increase admissions to the cinema. Also to establish PVR, not only as Cinema but as an overall entertainment destination of first choice.`4. Drive sales to enhance cinema performance.`5. COGS Control.`6. Ensures redressal of all customer complaints at the cinemas within stipulated timelines.`7. Ensures compliance to Cinema SOPs and achieving benchmark scores in Quality Audits`8. Ensures cinema delivers excellent customer service and qualifies benchmark ratings in Mystery customer audits`9. Plans and implements the On the Job Training/Operational Training for DMs and Duty Officer and front line staffin coordination with the training team, for operational efficiency.`10. Attrition Controlby keeping close contact with cinema team members and keep them motivated.`11. Training of team on various initiatives (local and corporate)`12. Facilitates implementation of all marketing drives at the cinema as per the corporate directives.`13. Ensuring accurate and timely reporting of site performance against the targets for consistent tracking and timely mid course correction by the management.`14. Ensure full support of all verticals to the cinema team for all matters related to the upkeep of the assets and availability of the systems through interventions and escalations.`15. Statutory Compliance and Liasioning. Interact with local authorities (Govt./Police/Developer)for smooth operations and timely support to the cinema).`16. Develops a strong bonding amongst the cross functional team members through building common understanding of the cinema performance and their contribution towards achievement of the same.`Other Job Specification:`1. P&L Handling Exposure`2. Functional knowledge of all functional teams at a Cinema and impact of their performance on the P&L of the Cinema.`3. Knowledge and functioning of Projection machine / software.`4. Meeting customer expectations (Patrons /Management/Statutory Bodies) while focussing at the business goals.`5. Build bridges amongst multifunctional team members for cohesive actions by the cinema team.`6. Responsible to the Area Manager/Regional Manager for delivery against targets.`7. Effective handling of External customers for ensuring value service delivery.`To qualify for the position the candidate must possess the following skills and experience:`A rich experience of 08-12 years in the F&B domain in the Hospitality/Cinema/QSR industry.`Candidate with multiple domain industry experience would be preferable`Excellent Written and Verbal communication;`Outstanding leadership & team-handling skills;`Superb skills on stakeholder & customer management;`Exceptional problem-solving abilities;`Adept in revenue management, forecasting & budgeting;`Proficient with MIS and MS Office;`Job Type: Full-time`Salary: ₹800,000.00 - ₹1,200,000.00 per year`Benefits:`Health insurance`Life insurance`Provident Fund`Schedule:`Flexible shift`Rotational shift`Supplemental pay types:`Yearly bonus`Ability to commute/relocate:`South West, Delhi: Reliably commute or planning to relocate before starting work (Preferred)`Application Question(s):`Have you completed graduation in Hotel Management?`Education:`Bachelor's (Required)`Experience:`total work: 5 years (Required)`Management: 3 years (Preferred)``Health insurance",https://in.indeed.com/company/PVR-Cinemas-Ltd/jobs/General-Manager-6d44e35462a8e03d?fccid=1b75661bb7541e9b&vjs=3
Human Resource Manager,prodinnov,"Delhi, Delhi","₹45,000 - ₹95,000 a month","We are seeking an experienced and competent HR Manager to join our team. As the HR Manager, you will be responsible for overseeing all aspects of human resources operations, including recruitment and selection, training and development, employee relations, performance management, compensation and benefits administration, and legal compliance. You will also be responsible for creating and implementing policies and procedures that align with the company's goals and values.`Responsibilities:`Develop and implement HR policies and procedures that align with the company's goals and values.`Lead recruitment efforts by sourcing, interviewing, and hiring qualified candidates.`Develop and implement employee training and development programs.`Manage employee relations, including conflict resolution, performance management, and disciplinary actions.`Ensure compliance with all applicable employment laws and regulations.`Administer employee benefits programs, including health insurance, retirement plans, and paid time off.`Manage HR budget and ensure cost-effective solutions.`Maintain accurate and up-to-date employee records and files.`Stay up-to-date with industry trends and best practices in HR.`Recruitment process -`Round 1 - Online test - https://www.skillzap.zapilio.com/package/63b978146c4b7d22afaa03f9`Round 2- Interview(Online) with CEO`Job Type: Full-time`Salary: ₹45,000.00 - ₹95,000.00 per month`Benefits:`Health insurance`Paid time off`Provident Fund`Work from home`Schedule:`Day shift`Flexible shift`Supplemental pay types:`Performance bonus`Ability to commute/relocate:`Delhi, Delhi: Reliably commute or planning to relocate before starting work (Required)``Health insurance",https://in.indeed.com/company/prodinnov/jobs/Human-Resources-Manager-08cf1489abb1fa7e?fccid=85c202388253631a&vjs=3
Assistant IT Manager,Bajaj Finance,"Delhi, Delhi","₹3,48,359 - ₹11,92,547 a year","IT (Information Technology) job descriptions can vary widely depending on the specific role, company, and industry. However, in general, IT professionals are responsible for designing, developing, implementing, and maintaining various technology-related systems and applications.`Job Types: Full-time, Regular / Permanent, Fresher`Salary: ₹348,359.18 - ₹1,192,547.26 per year`Benefits:`Health insurance`Paid sick time`Schedule:`Day shift`Monday to Friday`Morning shift`Supplemental pay types:`Performance bonus`Yearly bonus`Ability to commute/relocate:`Delhi, Delhi: Reliably commute or planning to relocate before starting work (Required)`Experience:`total work: 1 year (Preferred)``Health insurance",https://in.indeed.com/company/Bajaj-Finance/jobs/IT-Manager-7a24cd0cc43fa73b?fccid=7bfa697e8006e1bb&vjs=3
Project Manager,Edelweiss Group,"Delhi, Delhi","₹8,00,000 - ₹25,00,000 a year","Application development & support experience.`Capable of managing client, members, and shareholder metrics.`Experience in Devops, running support, and delivery programs.`Attitude to learn and guide other members and build capability in the team.`Job Types: Full-time, Internship, Commission, Fresher`Contract length: 48 months`Salary: ₹800,000.00 - ₹2,500,000.00 per year`Supplemental pay types:`Overtime pay`Performance bonus`Yearly bonus`Ability to commute/relocate:`Delhi, Delhi: Reliably commute or planning to relocate before starting work (Required)`Education:`Bachelor's (Preferred)`Experience:`Management (Preferred)`total work (Preferred)",https://in.indeed.com/company/Edelweiss-Group/jobs/Project-Manager-e641d33ea4829342?fccid=7592d0946f865394&vjs=3
Deputy Manager/ Manager Costing,Badve Group,"Delhi, Delhi",,"Badve Engineering Ltd is looking for Dy Manager/Manager Costing.`CTC-12LPA to 15 LPA`Expereince:8yrs to 10yrs`Education-BE Mechanical.`Costing, Business Development activity, attending and fulfilling customer requirement quote preparation.`Interunit Transfer price work.`Supplier costing.`Zero Budget Costing for target to plants.`RM Amendment Monitoring-Customers/Suppliers.`MHR based on cycle time.`Project report making-New Customers.`Profitability working-Actual Cost Vs Target Cost.`RFQ handling, New Customers.",https://in.indeed.com/rc/clk?jk=02252076e13ba015&fccid=ff07695fc44586c6&vjs=3
"Manager, Growth and Data Products",Dow Jones,"New Delhi, Delhi",,"Job Description:`We’re looking for a business Manager who can work with the CDO’s strategy office of Dow Jones to strategize and support the execution of data-driven projects and initiatives across Dow Jones.`You will report to the VP, Growth and New Data Products, and will be responsible for developing and program managing the execution of data strategy for all of Dow Jones. You will be working with the CDO’s strategy office including a team of business analysts and data scientists.`To do this job, you’ll need to be:`An excellent communicator – acting as a Manager, you will be the bridge between the business and engineering arms of the organization. You must be able to communicate highly-technical details to senior business stakeholders, and phrase business goals in technical terms. Excellent verbal and written communication skills are a must.`Business Value oriented – you will need to be excellent in quantifying value benefits from various data team initiatives and explain the return on data investments that Dow Jones makes. You must be able to architect value from all potential use cases and make sure the estimated value is delivered from the data products.`Have a minimum of 5 years’ experience working at the intersection of business and data with a technology focus.`Knowledgeable in data solutions relating to B2B and B2C digital products, marketing, and services is a strong plus.`Responsibilities for this role include:`Lead the research and benchmark activities for various innovative ‘data’ initiatives and use cases across media and entertainment industry that can be applied to Dow Jones`Architect value from these initiatives and create a compelling value story to enable funding for execution of the use cases`Work with internal (Dow Jones) and external (customers, advertisers) stakeholders to understand requirements and use cases`Work with data scientists and engineering teams to describe functional requirements`Program manage all of data teams initiatives including management of budgets, reporting and dashboarding of performance, highlighting risks and mitigation plans and coordinating with various teams and stakeholders for their inputs and feedback`Here are some things that we'd prefer to see, though none is independently a requirement:`Bachelor’s degree / Master’s degree in business (top-tier schools preferred)`Consulting experience in a top global strategy / management consulting firm`Experience managing a team (either directly or indirectly)`Great powerpoint, storyboarding and excel skills`Experience with working with senior leadership`Dow Jones, Making Careers Newsworthy - All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status, or disability status. EEO/AA/M/F/Disabled/Vets. Dow Jones is committed to providing reasonable accommodation for qualified individuals with disabilities, in our job application and/or interview process. If you need assistance or accommodation in completing your application, due to a disability, email us at talentresourceteam@dowjones.com. Please put ""Reasonable Accommodation"" in the subject line.`Business Area: TECHNOLOGY - PRODUCT DEVELOPMENT`Job Category: Project/Program Management`Union Status:`Non-Union role`Since 1882, Dow Jones has been finding new ways to bring information to the world’s top business entities. Beginning as a niche news agency in an obscure Wall Street basement, Dow Jones has grown to be a worldwide news and information powerhouse, with prestigious brands including The Wall Street Journal, Dow Jones Newswires, Factiva, Barron’s, MarketWatch and Financial News.`This longevity and success is due to a relentless pursuit of accuracy, depth and innovation, enhanced by the wisdom of past experience and a solid grasp on the future ahead. More than its individual brands, Dow Jones is a modern gateway to intelligence, with innovative technology, advanced data feeds, integrated solutions, expert research, award-winning journalism and customizable apps and delivery systems to bring the information that matters most to customers, when and where they need it, every day.`If you are a current employee at Dow Jones, do not apply here. Please go to the Career section on your Workday homepage and view ""Find Jobs - Dow Jones."" Thank you.`Req ID: 36956",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BTjCmmKQdhDXu6PUCZ_Ex_gjMOuR_qXcDQSHT3NdqhL1k2smWW1T6FRkeZKLb0tD7zKb64EA8eewf7XaZHrodrhanqEpP9CfxblPz-VRwj5ggikbZFgAQDB7io8DZfu3IwP3rp6E9djGDUlnNJd0q7hlZwYOa1vnHDmEGbsPiCYbvfXrAVa7E8vaXVK1N5a1-EOyRp-G6ibZrJ2yFigPM5qgFJ-pfq6W_qjYAgKngIeW74DGdenGZaGgnhG1HfbVZLISbp7Vrga-R_3XkUGLM9VSPKHUpuB0v4TYMd38BOuqdjqk_MAx1kL2lRVX8GC0yG0la9F8HAMxU8HCXi8u8ayR57pKXoaAQ80ZJRzwuoc6E_Hg7ZfQ3hJf-0LZPRSMbwMmHOInn0jhN2GZdhV4QEv2U1mCT8jIwdUBYWnBisQXd7oPxta-nDnF3TU69LOv3dQlC75CpivQMkip-MTvNZpkwaQTTfLtdMXPHSIT36htE1S5cCaH2jgEd9aEkfDzCZLLNmzteOOr_1hNYs9wr1ZnmwUCO1sLmBaSVI2I9p9HqwFtunuRW1VxbkNOq4iWwlrrdk8xxYeY31dBpskTeU7z9ftjsJG9lElKgOktnkqJRzuoj-izkrD1xPuteGtjV7X9-SLhh9wvmvg7rqq2EEodT7kJxi7jUNL_wvs2tOuA==&xkcb=SoDp-_M3QXRcYgwNEB0GbzkdCdPP&p=13&fvj=0&vjs=3
Sr. Manager Purchase,DIWAN MUNDHRA BROS. PVT. LTD,"Delhi, Delhi","₹60,000 - ₹70,000 a month","We are looking for an experienced Procurement Manager to manage Procurement. Procurement Manager Responsibilities include strategizing to find cost-effective deals and suppliers. The Procurement Manager’s duty is to discover the best ways to cut procurement expenses, so that the company can invest in growth and people`Experience- Min 10-15 Year of Experience as Sr. Mgr Purchase with international Exposure`Qualification- Degree in supply chain management, logistics or business administration)`Job Location- Pitampura, Delhi`Salary - 70K-80K`Skills-· Solid judgment along with decision making skills , A knack for negotiation and networking, Strong leadership capabilities, Fluent Command in English. Attend International Exhibition, Travel Abroad`Responsibilities`§ Develop, lead and execute purchasing strategies`§ Track and report key functional metrics to reduce expenses and improve effectiveness`§ Craft negotiation strategies and close deals with optimal terms`§ Forecast price and market trends to identify changes of balance in buyer-supplier power`§ Monitor and forecast upcoming levels of demand`§ Procurement of all category of Raw materials like Polymer Pigments & Additives`§ In-charge of overall inventory forecasting for important raw materials and items.`§ Review monthly procurement plans.`§ Check/approve of indents raised by stores.`§ Negotiate with vendor/service provider on terms and price.`§ Follow up for delivery of crucial materials with vendors.`§ Oversee Import/export logistics arrangements and check the documents provided to CHA, excise, customs and banks.`§ Meet vendors or inviting them for meeting.`§ Passing of bills and ensuring timely payment to vendor/service providers`§ Maintaining the optimum level to run the plant without any interruption because of Raw materials.`§ Regularly visiting International exhibition and seminar to understand the latest trend in the field and the same time dealing market directly to understand their requirement and developing new product as per their needs.`§ Undertaking visits to meet customers and suppliers to ensure the ongoing relationship is maintained and gets stronger with time`§ Meeting Plastic Manufacturing Associations, Processors, participating in various International Exhibitions, Conferences and Sales Promotion activities to keep oneself abreast with the latest development in the market.`Job Type: Full-time`Salary: ₹60,000.00 - ₹70,000.00 per month`Benefits:`Cell phone reimbursement`Schedule:`Morning shift`Supplemental pay types:`Performance bonus`Ability to commute/relocate:`Delhi, Delhi: Reliably commute or planning to relocate before starting work (Required)`Experience:`total work: 10 years (Preferred)`Speak with the employer`+91 8860681976",https://in.indeed.com/company/DIWAN-MUNDHRA-BRO.-PVT-LTD/jobs/Senior-Purchaser-b27fc8633ded1020?fccid=18e0f64cb1183054&vjs=3
ASSOCIATE DIRECTOR/MANAGER -STATUTORY AUDIT (INDIA PRACTICE),Innovative,"Mumbai, Maharashtra",,"Roles and Responsibilities``JOB DESCRIPTION`Designation Manager, Associate Director Assurance Services`Roles & Responsibilities:`Finalization of assurance assignments (including group reporting) independently`Planning for the assignments`Ability to display project management skills and execute tasks within strict deadlines`Build and manage a team of assurance professionals`Training and research`Being a SPOC for the clients`Good technical knowledge on AS, Ind As, SAs etc. needed for execution of assignments`Communicate with clients and their overseas counterparts as and when required`Co-ordination with the firm's cross service teams (IDT, Tax, C Law, TP, etc.) for assignments`Ownership over client responsibilities like CSS, billing, recovery, etc.`Travel across all locations`Desired Profile:`Education: Qualified CA`5-11 years of experience in Assurance Services`Exposure to ERP environment (Tally, SAP, JDE, etc.)`Good communication skills (Verbal & Written)`Client facing experience preferred`Willingness to travel`Skill Set: -`Expert knowledge of business processes, accounting, reporting methodology`Expert knowledge and application of accounting standards and SAs under Indian GAAP`Awareness of reporting under IFRS and other GAAPs as may be required for the group reporting for various entities.`Capable of spotting the issues and providing options for solution`Awareness of direct and indirect taxes and corporate laws`Excellent team management & client handling experience",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CGuKy76dVYsZYej8M54H0t93WH2aM2zlTenROfj40ZOiJmpz9LuQTbgw6GcgQ26VG37BnmvIzBJBMeE2Yr3PYF6sEq8jTWwYSwrOaS0V3PB5Zj8Fn0zLghTfvIb2h86TsKdBqyKgSTPzEpAuaOM2AABNAbeEZ9RH5UMSMWqMrtgLm73yboG7t7VffwyLxlkOPMi6PTq8JkeQUX3gMIWuV4YfNb6raRGAkKQb31iStJ0fyUqgFWbVviS7FlyRgSPFl4pJzSJ_d0pvABJ4FSarClQchBhC725NU93wozUtPRoLoBfVDdxvSgsp4yxNsqrtcb1_wCGPJrlODx8I_l36a0wP90Vq4wzvA5bgXXH9S3Ezp0oGMwSfcK4-jJsrvr0SoKinrww0-Z-agLfj97BqBsv1RKFtYo3vKpgc8Qt2SJPTvybN45_4CiykMebI2J2tRqReOg-UehpV9ILCb8TZSshFsNGNXCoML6NWZpmdHH8I0Bgbcn8KIH5KC6r5Yem1FvrVevZwVanaLZq_DAFMuFZVFTWCdvLPhOIBiLGs9oy4DTEyO-7ezrZyIV0jSygI-R2zPBtMcOjWsdVk9pyNI2KKivEnFM1VeLedRe7PwFAp2RDrPR4HPG6eEKq7BMVGlGEA2ab9ARUQwyhHwRoCj7cv7VY98WBETLfbL5vr8KbR13DYxneshp7hQfge2zIZ-iKugO2vz9bOalJ-LYVbrFbaLs8F7Y1GT5dZOP1KgFspB5hKiR-xUy1FJMXbAV5YGgkxvxeWD_S38ApXvBbJsHqB5Sfp4nSJ0=&xkcb=SoAe-_M3QXRpRzAGEb0LbzkdCdPP&p=0&fvj=0&vjs=3
